,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ratio,literacy_rate
117,Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,5710,372226,93.96412496299739,72.18808766525284
118,Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,385609,92.61954340665581,73.83772697074883
119,Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,576,101940,96.05594414884784,62.73723227460075
120,Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,6726,267679,96.06909822830727,75.35008633708162
121,Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,3456,398937,94.85346315001047,60.26516076788457
122,Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,2231,223424,93.5109166658266,62.3570587631183
123,Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,1653,117040,95.01380704775673,67.24377358232742
124,Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,21785,747352,92.68999642937635,71.62608639426709
125,Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,5262,438606,95.18795143345568,65.00622377849854
126,Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,55694,1252452,78.74549118458984,75.17131965714033
127,Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,2975,302068,93.01408809814522,62.269881362070024
128,Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,137,29794,100.57019354952075,61.749258621671466
129,Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,798277,93.41395602803686,69.45126614823319
130,Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,11020,329218,92.24929048197633,68.63294244282918
131,Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,12899,199681,88.46573342709156,72.49745203172775
132,Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,266244,88.5886471467868,65.45775477302693
133,Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,43437,333171,87.32163004212771,70.32744609287668
134,Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,153301,90.16694928940568,59.19017930788494
135,Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,67087,305751,85.43535490822711,73.3684972319655
136,Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,10132,285004,87.205038419343,63.89650737328484
137,Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,5034,168558,86.21846747508583,70.5433506711672
138,Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,222462,87.1165179535656,62.41852502563427
139,Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,3724,187349,88.14331973737441,60.18119638389133
140,Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,267223,88.70519686302826,64.97026553751883
141,Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,171908,88.78675319388778,67.05951868802836
142,Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,135455,89.47078585885568,68.35085154562255
143,Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,18615,103455,87.29807560756676,72.2114831291322
144,Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,10024,209965,86.35293426522401,65.25426048810515
145,Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,5121,152651,89.80931198414622,70.74579155244955
146,Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,8482,193120,86.67426589196786,70.44658708410448
147,Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,6287,215527,89.74848443117457,60.446544867196984
148,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,1574,79146,98.14695690066611,75.3018672307805
149,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,8566,519704,97.07607574576012,59.939278330428145
150,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,1615,96082,98.63768559620388,62.3876859058334
151,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,2521,104120,109.50292532362833,78.74146817718045
152,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1196,55929,86.05158566357278,59.16036168199332
153,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,8053,330081,101.18479971116095,76.32998361008559
154,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,354,17865,81.88717593893922,72.15677417054005
155,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,2623,91322,94.23336231215514,70.26030878984615
156,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,5333,214491,100.73223374459157,72.39084315802424
157,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,9177,172754,91.51419046252227,75.26222036584316
158,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,2220,91509,91.77564072402447,68.44230968849968
